3.0002	0.75005	0.5624624875	0.7383445327	0.5796142896	0.731033427	0.5899099916	0.7257969635
3.0004	0.7501	0.56242495	0.7384078181	0.5795624015	0.7311069407	0.5898473817	0.725879115
3.0006	0.75015	0.5623873875	0.7384711063	0.5795104732	0.7311804608	0.589784717	0.725961277
3.0008	0.7502	0.5623498	0.7385343973	0.5794585049	0.7312539871	0.5897219977	0.7260434494
3.001	0.75025	0.5623121874	0.7385976911	0.5794064966	0.7313275195	0.5896592237	0.726125632
3.0012	0.7503	0.5622745499	0.7386609876	0.5793544482	0.7314010581	0.5895963952	0.7262078249
3.0014	0.75035	0.5622368873	0.7387242868	0.5793023597	0.7314746028	0.5895335121	0.7262900279
3.0016	0.7504	0.5621991997	0.7387875887	0.5792502313	0.7315481536	0.5894705745	0.7263722409
3.0018	0.75045	0.5621614871	0.7388508933	0.5791980628	0.7316217103	0.5894075824	0.7264544639
3.002	0.7505	0.5621237495	0.7389142005	0.5791458544	0.7316952731	0.5893445359	0.7265366968
3.0022	0.75055	0.5620859868	0.7389775104	0.579093606	0.7317688417	0.5892814351	0.7266189395
3.0024	0.7506	0.5620481991	0.739040823	0.5790413176	0.7318424163	0.5892182799	0.7267011918
3.0026	0.75065	0.5620103864	0.7391041382	0.5789889893	0.7319159967	0.5891550704	0.7267834538
3.0028	0.7507	0.5619725486	0.739167456	0.578936621	0.7319895828	0.5890918067	0.7268657253
3.003	0.75075	0.5619346858	0.7392307764	0.5788842128	0.7320631747	0.5890284888	0.7269480063
3.0032	0.7508	0.561896798	0.7392940993	0.5788317648	0.7321367724	0.5889651168	0.7270302966
3.0034	0.75085	0.561858885	0.7393574248	0.5787792768	0.7322103757	0.5889016907	0.7271125962
3.0036	0.7509	0.5618209471	0.7394207529	0.5787267489	0.7322839846	0.5888382105	0.727194905
3.0038	0.75095	0.5617829841	0.7394840835	0.5786741812	0.732357599	0.5887746763	0.727277223
3.004	0.751	0.561744996	0.7395474166	0.5786215737	0.732431219	0.5887110882	0.7273595499
3.0042	0.75105	0.5617069829	0.7396107522	0.5785689263	0.7325048445	0.5886474461	0.7274418857
3.0044	0.7511	0.5616689447	0.7396740903	0.5785162391	0.7325784755	0.5885837502	0.7275242305
3.0046	0.75115	0.5616308814	0.7397374309	0.5784635121	0.7326521118	0.5885200004	0.7276065839
3.0048	0.7512	0.5615927931	0.7398007739	0.5784107453	0.7327257535	0.5884561969	0.7276889461
3.005	0.75125	0.5615546797	0.7398641193	0.5783579388	0.7327994005	0.5883923396	0.7277713168
3.0052	0.7513	0.5615165412	0.7399274672	0.5783050925	0.7328730527	0.5883284287	0.7278536961
3.0054	0.75135	0.5614783777	0.7399908174	0.5782522064	0.7329467102	0.5882644641	0.7279360838
3.0056	0.7514	0.561440189	0.7400541701	0.5781992806	0.7330203728	0.588200446	0.7280184798
3.0058	0.75145	0.5614019753	0.7401175251	0.5781463151	0.7330940406	0.5881363743	0.7281008841
3.006	0.7515	0.5613637365	0.7401808825	0.5780933099	0.7331677134	0.5880722491	0.7281832965
3.0062	0.75155	0.5613254726	0.7402442422	0.5780402651	0.7332413913	0.5880080705	0.728265717
3.0064	0.7516	0.5612871836	0.7403076042	0.5779871805	0.7333150742	0.5879438385	0.7283481454
3.0066	0.75165	0.5612488695	0.7403709685	0.5779340563	0.7333887621	0.5878795531	0.7284305818
3.0068	0.7517	0.5612105303	0.7404343352	0.5778808925	0.7334624548	0.5878152145	0.728513026
3.007	0.75175	0.5611721661	0.7404977041	0.577827689	0.7335361524	0.5877508226	0.728595478
3.0072	0.7518	0.5611337767	0.7405610752	0.5777744459	0.7336098549	0.5876863775	0.7286779375
3.0074	0.75185	0.5610953622	0.7406244486	0.5777211633	0.733683562	0.5876218792	0.7287604046
3.0076	0.7519	0.5610569226	0.7406878242	0.577667841	0.733757274	0.5875573279	0.7288428792
3.0078	0.75195	0.5610184578	0.740751202	0.5776144792	0.7338309906	0.5874927235	0.7289253612
3.008	0.752	0.560979968	0.7408145821	0.5775610779	0.7339047118	0.5874280661	0.7290078505
3.0082	0.75205	0.560941453	0.7408779642	0.577507637	0.7339784376	0.5873633557	0.7290903469
3.0084	0.7521	0.560902913	0.7409413486	0.5774541566	0.734052168	0.5872985924	0.7291728505
3.0086	0.75215	0.5608643477	0.7410047351	0.5774006368	0.7341259029	0.5872337763	0.7292553611
3.0088	0.7522	0.5608257574	0.7410681237	0.5773470774	0.7341996422	0.5871689074	0.7293378787
3.009	0.75225	0.5607871419	0.7411315144	0.5772934786	0.734273386	0.5871039857	0.7294204031
3.0092	0.7523	0.5607485013	0.7411949073	0.5772398403	0.7343471341	0.5870390113	0.7295029343
3.0094	0.75235	0.5607098356	0.7412583022	0.5771861626	0.7344208865	0.5869739843	0.7295854721
3.0096	0.7524	0.5606711447	0.7413216991	0.5771324454	0.7344946432	0.5869089046	0.7296680166
3.0098	0.75245	0.5606324287	0.7413850981	0.5770786889	0.7345684041	0.5868437725	0.7297505675
3.01	0.7525	0.5605936875	0.7414484992	0.577024893	0.7346421692	0.5867785878	0.7298331249
3.0102	0.75255	0.5605549212	0.7415119022	0.5769710577	0.7347159385	0.5867133506	0.7299156886
3.0104	0.7526	0.5605161297	0.7415753072	0.5769171831	0.7347897118	0.5866480611	0.7299982585
3.0106	0.75265	0.5604773131	0.7416387143	0.5768632691	0.7348634892	0.5865827192	0.7300808346
3.0108	0.7527	0.5604384713	0.7417021232	0.5768093158	0.7349372706	0.586517325	0.7301634167
